country_name,country_code,postal_code,place_name,admin1,admin2,admin3,lat,lng
Bangladesh,BD,1000,Dhaka GPO,Dhaka Division,Dhaka,Palton,23.729,90.4112
Bangladesh,BD,1100,Dhaka Sadar HO,Dhaka Division,Dhaka,Sutrapur,23.9996,90.4222
Bangladesh,BD,1203,Wari TSO,Dhaka Division,Dhaka,Sutrapur,23.7415,90.4276
Bangladesh,BD,1204,Gendaria TSO,Dhaka Division,Dhaka,Sutrapur,23.7011,90.4263
Bangladesh,BD,1205,New Market TSO,Dhaka Division,Dhaka,New market,23.7433,90.3841
Bangladesh,BD,1206,Dhaka CantonmentTSO,Dhaka Division,Dhaka,Dhaka Cantt.,23.8179,90.4103
Bangladesh,BD,1207,Mohammadpur Housing,Dhaka Division,Dhaka,Mohammadpur,23.7701,90.3628
Bangladesh,BD,1208,Dhaka Politechnic,Dhaka Division,Dhaka,Tejgaon Industrial Area,23.7591,90.4003
Bangladesh,BD,1209,Jigatala TSO,Dhaka Division,Dhaka,Dhanmondi,23.7552,90.3731
Bangladesh,BD,1211,Posta TSO,Dhaka Division,Dhaka,Lalbag,23.8196,90.364
Bangladesh,BD,1212,Gulshan Model Town,Dhaka Division,Dhaka,Gulshan,23.7916,90.4152
Bangladesh,BD,1213,Banani TSO,Dhaka Division,Dhaka,Gulshan,23.7931,90.4048
Bangladesh,BD,1214,Basabo TSO,Dhaka Division,Dhaka,Sabujbag,23.7418,90.4277
Bangladesh,BD,1215,Tejgaon TSO,Dhaka Division,Dhaka,Tejgaon,23.7687,90.3901
Bangladesh,BD,1216,Mirpur TSO,Dhaka Division,Dhaka,Mirpur,23.8219,90.3657
Bangladesh,BD,1217,Shantinagr TSO,Dhaka Division,Dhaka,Ramna,23.726,90.4251
Bangladesh,BD,1219,KhilgaonTSO,Dhaka Division,Dhaka,Khilgaon,23.7518,90.4254
Bangladesh,BD,1222,BangabhabanTSO,Dhaka Division,Dhaka,Motijheel,23.9072,90.4599
Bangladesh,BD,1223,DilkushaTSO,Dhaka Division,Dhaka,Motijheel,23.8822,90.4576
Bangladesh,BD,1225,Sangsad BhabanTSO,Dhaka Division,Dhaka,Mohammadpur,23.7617,90.3784
Bangladesh,BD,1229,KhilkhetTSO,Dhaka Division,Dhaka,Khilkhet,23.8515,90.403
Bangladesh,BD,1230,Uttara Model TwonTSO,Dhaka Division,Dhaka,Uttara,23.8667,90.4
